track_id,name,car_bbox,confidence,recorded_time,entry_point,exit_point
9,two_wheelersrotation,"{'x1': 433.7189, 'y1': 35.47706, 'x2': 560.08765, 'y2': 203.29321}",0.58584,2024-09-17 12:27:40,North,North
8,two_wheelersrotation,"{'x1': 409.41953, 'y1': 41.28493, 'x2': 505.06778, 'y2': 139.15948}",0.75605,2024-09-17 12:27:40,,
8,two_wheelersrotation,"{'x1': 412.64828, 'y1': 43.30317, 'x2': 505.82086, 'y2': 139.6053}",0.75549,2024-09-17 12:27:41,,
8,two_wheelersrotation,"{'x1': 423.1842, 'y1': 45.39845, 'x2': 520.69586, 'y2': 141.11967}",0.66414,2024-09-17 12:27:42,North,
8,two_wheelersrotation,"{'x1': 426.84698, 'y1': 45.97701, 'x2': 526.03778, 'y2': 141.6187}",0.66678,2024-09-17 12:27:42,North,North
8,two_wheelersrotation,"{'x1': 439.25183, 'y1': 46.18058, 'x2': 534.11261, 'y2': 143.67329}",0.7418,2024-09-17 12:27:43,North,North
8,two_wheelersrotation,"{'x1': 443.71582, 'y1': 46.14666, 'x2': 536.8092, 'y2': 144.40756}",0.7399,2024-09-17 12:27:44,North,North
8,two_wheelersrotation,"{'x1': 451.53943, 'y1': 54.71914, 'x2': 550.84235, 'y2': 144.5502}",0.66112,2024-09-17 12:27:44,North,North
10,bicyclerotation,"{'x1': 0.40092, 'y1': 58.09095, 'x2': 173.74205, 'y2': 308.20041}",0.70707,2024-09-17 12:27:45,,
10,bicyclerotation,"{'x1': 0.49806, 'y1': 63.34752, 'x2': 174.66916, 'y2': 308.1369}",0.66732,2024-09-17 12:27:46,,
10,bicyclerotation,"{'x1': 0.54587, 'y1': 65.20887, 'x2': 175.01678, 'y2': 308.14835}",0.67335,2024-09-17 12:27:46,,
10,bicyclerotation,"{'x1': 0.63269, 'y1': 65.17768, 'x2': 173.35728, 'y2': 308.76477}",0.64118,2024-09-17 12:27:47,,
10,bicyclerotation,"{'x1': 0.66854, 'y1': 64.9026, 'x2': 172.83969, 'y2': 308.94653}",0.64118,2024-09-17 12:27:48,,
10,bicyclerotation,"{'x1': 0.57955, 'y1': 62.51831, 'x2': 173.91937, 'y2': 308.97842}",0.56807,2024-09-17 12:27:48,,
10,bicyclerotation,"{'x1': 0.54243, 'y1': 61.22197, 'x2': 174.32277, 'y2': 308.98434}",0.56688,2024-09-17 12:27:49,,
10,bicyclerotation,"{'x1': 0.58114, 'y1': 68.30899, 'x2': 174.66376, 'y2': 309.37555}",0.48557,2024-09-17 12:27:50,,
10,bicyclerotation,"{'x1': 0.61203, 'y1': 71.34068, 'x2': 175.2502, 'y2': 309.51224}",0.48866,2024-09-17 12:27:50,,
10,bicyclerotation,"{'x1': 0.80741, 'y1': 73.68907, 'x2': 173.91953, 'y2': 309.74274}",0.50686,2024-09-17 12:27:51,,
10,bicyclerotation,"{'x1': 0.85569, 'y1': 74.21799, 'x2': 173.41687, 'y2': 309.84833}",0.51305,2024-09-17 12:27:52,,
10,bicyclerotation,"{'x1': 0.62847, 'y1': 70.14545, 'x2': 162.48752, 'y2': 311.16309}",0.38382,2024-09-17 12:27:52,,
10,bicyclerotation,"{'x1': 0.55774, 'y1': 67.99002, 'x2': 160.59995, 'y2': 311.64334}",0.39132,2024-09-17 12:27:53,,
10,bicyclerotation,"{'x1': 0.4372, 'y1': 64.5812, 'x2': 159.29079, 'y2': 312.37143}",0.4192,2024-09-17 12:27:54,,
10,bicyclerotation,"{'x1': 0.38105, 'y1': 63.12528, 'x2': 158.42783, 'y2': 312.58255}",0.41284,2024-09-17 12:27:54,,
10,bicyclerotation,"{'x1': 0.46004, 'y1': 75.78886, 'x2': 143.81071, 'y2': 312.86603}",0.3464,2024-09-17 12:27:55,,
10,bicyclerotation,"{'x1': 0.4845, 'y1': 80.42892, 'x2': 138.53947, 'y2': 312.96399}",0.33988,2024-09-17 12:27:56,,
10,bicyclerotation,"{'x1': 0.52999, 'y1': 85.5826, 'x2': 125.99548, 'y2': 311.56122}",0.39888,2024-09-17 12:27:56,,
11,bicyclerotation,"{'x1': 80.4921, 'y1': 43.5861, 'x2': 234.67053, 'y2': 163.95462}",0.68522,2024-09-17 12:27:57,,
11,bicyclerotation,"{'x1': 110.21699, 'y1': 42.50014, 'x2': 246.67456, 'y2': 160.86407}",0.40204,2024-09-17 12:27:58,,
11,bicyclerotation,"{'x1': 119.59781, 'y1': 42.40367, 'x2': 250.36604, 'y2': 159.8773}",0.40521,2024-09-17 12:27:58,,
11,bicyclerotation,"{'x1': 117.43477, 'y1': 51.31115, 'x2': 261.44864, 'y2': 161.24458}",0.11462,2024-09-17 12:27:59,,
11,bicyclerotation,"{'x1': 115.78227, 'y1': 53.43648, 'x2': 264.75143, 'y2': 161.60774}",0.11379,2024-09-17 12:28:00,,
11,autorotation,"{'x1': 124.30596, 'y1': 45.20802, 'x2': 270.64203, 'y2': 135.33249}",0.20417,2024-09-17 12:28:00,,
11,autorotation,"{'x1': 127.09462, 'y1': 42.10587, 'x2': 272.34814, 'y2': 126.23628}",0.21336,2024-09-17 12:28:01,,
11,autorotation,"{'x1': 134.86926, 'y1': 40.61241, 'x2': 281.47522, 'y2': 121.98286}",0.16736,2024-09-17 12:28:02,,
11,autorotation,"{'x1': 137.45752, 'y1': 40.15036, 'x2': 284.56754, 'y2': 120.86195}",0.16929,2024-09-17 12:28:02,,
10,bicyclerotation,"{'x1': 0.7237, 'y1': 95.96165, 'x2': 122.8176, 'y2': 307.61386}",0.37235,2024-09-17 12:28:03,,
10,bicyclerotation,"{'x1': 0.70295, 'y1': 96.04427, 'x2': 124.15147, 'y2': 307.99963}",0.37274,2024-09-17 12:28:04,,
10,bicyclerotation,"{'x1': 1.92384, 'y1': 99.61179, 'x2': 166.88297, 'y2': 307.50839}",0.51113,2024-09-17 12:28:04,,
10,bicyclerotation,"{'x1': 2.32837, 'y1': 100.9841, 'x2': 181.81563, 'y2': 307.3219}",0.51134,2024-09-17 12:28:05,,
10,bicyclerotation,"{'x1': 2.41368, 'y1': 101.18542, 'x2': 188.31891, 'y2': 307.22772}",0.5253,2024-09-17 12:28:06,,
10,bicyclerotation,"{'x1': 2.44357, 'y1': 101.16533, 'x2': 190.82526, 'y2': 307.18649}",0.5246,2024-09-17 12:28:06,,
10,bicyclerotation,"{'x1': 2.43382, 'y1': 101.16045, 'x2': 191.1306, 'y2': 307.1618}",0.52438,2024-09-17 12:28:07,,
10,bicyclerotation,"{'x1': 2.40252, 'y1': 101.14103, 'x2': 191.06761, 'y2': 307.15051}",0.52566,2024-09-17 12:28:08,,
10,bicyclerotation,"{'x1': 2.51544, 'y1': 101.40446, 'x2': 191.28714, 'y2': 307.15161}",0.57466,2024-09-17 12:28:08,,
10,bicyclerotation,"{'x1': 2.53587, 'y1': 101.43151, 'x2': 191.19826, 'y2': 307.15149}",0.57506,2024-09-17 12:28:09,,
10,bicyclerotation,"{'x1': 2.60778, 'y1': 101.71101, 'x2': 191.18158, 'y2': 307.14713}",0.55505,2024-09-17 12:28:10,,
12,autorotation,"{'x1': 224.36136, 'y1': 40.37789, 'x2': 383.65405, 'y2': 130.41263}",0.71146,2024-09-17 12:28:10,,
12,autorotation,"{'x1': 233.74043, 'y1': 40.81106, 'x2': 393.06125, 'y2': 122.13963}",0.79851,2024-09-17 12:28:11,,
13,two_wheelersrotation,"{'x1': 285.93082, 'y1': 69.61325, 'x2': 403.45572, 'y2': 170.23132}",0.59331,2024-09-17 12:28:12,,
13,two_wheelersrotation,"{'x1': 264.75467, 'y1': 49.99881, 'x2': 413.95184, 'y2': 171.67189}",0.58819,2024-09-17 12:28:12,,
13,two_wheelersrotation,"{'x1': 257.61737, 'y1': 43.42987, 'x2': 417.55899, 'y2': 172.2285}",0.59874,2024-09-17 12:28:13,,
13,autorotation,"{'x1': 260.13406, 'y1': 38.84785, 'x2': 428.37561, 'y2': 169.92319}",0.94394,2024-09-17 12:28:14,,
13,autorotation,"{'x1': 261.63235, 'y1': 37.59092, 'x2': 432.24484, 'y2': 168.94254}",0.94485,2024-09-17 12:28:14,,
13,autorotation,"{'x1': 269.80606, 'y1': 38.4729, 'x2': 441.47604, 'y2': 170.07726}",0.94994,2024-09-17 12:28:15,,
13,autorotation,"{'x1': 273.16425, 'y1': 39.0513, 'x2': 444.79099, 'y2': 170.52446}",0.95144,2024-09-17 12:28:16,,
13,autorotation,"{'x1': 286.16519, 'y1': 39.95479, 'x2': 458.18167, 'y2': 172.37762}",0.92254,2024-09-17 12:28:16,,
13,autorotation,"{'x1': 291.09763, 'y1': 40.44672, 'x2': 463.07266, 'y2': 173.06851}",0.92424,2024-09-17 12:28:17,,
13,autorotation,"{'x1': 301.75174, 'y1': 40.17575, 'x2': 474.58615, 'y2': 175.20422}",0.92217,2024-09-17 12:28:18,,
13,autorotation,"{'x1': 305.78915, 'y1': 40.14984, 'x2': 478.80338, 'y2': 176.02278}",0.92297,2024-09-17 12:28:18,,
13,autorotation,"{'x1': 319.59641, 'y1': 41.57638, 'x2': 489.40164, 'y2': 178.47894}",0.96251,2024-09-17 12:28:19,,
13,autorotation,"{'x1': 324.73706, 'y1': 42.21333, 'x2': 493.16336, 'y2': 179.38985}",0.96202,2024-09-17 12:28:20,,
13,autorotation,"{'x1': 334.97168, 'y1': 42.5213, 'x2': 505.42258, 'y2': 181.18634}",0.95246,2024-09-17 12:28:20,,
14,two_wheelersrotation,"{'x1': 721.2149, 'y1': 5e-05, 'x2': 814.66022, 'y2': 27.47558}",0.65565,2024-09-17 12:28:21,,
14,two_wheelersrotation,"{'x1': 720.17877, 'y1': 0.01077, 'x2': 815.99646, 'y2': 28.73432}",0.55381,2024-09-17 12:28:22,,
14,two_wheelersrotation,"{'x1': 719.8302, 'y1': 0.0, 'x2': 816.43872, 'y2': 29.14512}",0.55351,2024-09-17 12:28:22,,
14,two_wheelersrotation,"{'x1': 719.40009, 'y1': 0.0082, 'x2': 816.74536, 'y2': 31.18271}",0.78123,2024-09-17 12:28:23,,
14,two_wheelersrotation,"{'x1': 719.28015, 'y1': 0.0, 'x2': 816.86542, 'y2': 31.84259}",0.77882,2024-09-17 12:28:24,,
14,two_wheelersrotation,"{'x1': 722.19409, 'y1': 0.01361, 'x2': 820.60791, 'y2': 34.04633}",0.7619,2024-09-17 12:28:24,,
14,two_wheelersrotation,"{'x1': 723.31293, 'y1': 0.0, 'x2': 821.95575, 'y2': 34.79269}",0.75747,2024-09-17 12:28:25,,
14,two_wheelersrotation,"{'x1': 721.85205, 'y1': 0.00659, 'x2': 822.79224, 'y2': 36.54768}",0.76406,2024-09-17 12:28:26,,
